Week,Kills,Deaths,Assists,KDA,Average LCS KDA
1,7,7,9,2.285714286,4
2,7,3,16,7.666666667,3
3,8,7,20,4,4.1
4,7,9,18,2.777777778,4.5
5,13,2,6,9.5,3.6
6,7,6,7,2.333333333,4.8
7,1,3,4,1.666666667,4.1
8,5,4,7,3,2.8
9,5,3,5,3.333333333,3.8
