Week,Kills,Deaths,Assists,KDA,Average LCS KDA
1,12.00,1,9,21,3.2
2,12.00,3,10,7.333333333,3
3,12.00,0,4,16,2.5
4,12.00,2,14,13,4.6
5,18.00,4,12,7.5,4
6,6.00,4,13,4.75,3.6
7,10.00,2,10,10,4.1
8,14.00,8,17,3.875,4
9,8.00,7,25,4.714285714,3.3
