Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM
Apollo,46,45.70%,4.1,2.6,2.1,5.9,7.3
Doublelift,41,85.40%,6,4.7,1.7,5.8,8.7
Fabbbyyy,34,55.90%,4.7,2.1,2,7.1,7.2
KEITH,42,19%,2,1.8,2.6,3.2,7.9
LOD,42,40.50%,4.8,3.8,1.8,4.8,8.6
Mash,41,34.10%,3.7,3,2,4.2,9.1
Ohq,43,32.60%,3.2,2.9,2.2,4,8.1
Piglet,9,33.30%,2.3,2.4,2.3,3,8.6
Slooshi,5,20%,1.2,1.2,4,3.6,8.3
Sneaky,44,63.60%,6.3,4.3,1.6,6.1,8.4
Stixxay,46,54.30%,3.2,3.3,2.4,4.5,8.8
WildTurtle,43,76.70%,4.6,4.5,2.2,5.7,8.6
